r,n,s,S,c
15,9,4,8,5
79,11,5,10,19
95,9,5,8,91
127,16,9,15,77
143,8,4,7,91
159,23,13,22,61
175,9,5,8,167
191,15,8,14,77
207,14,8,13,167
239,22,12,21,61
255,14,8,13,205
271,10,4,9,43
287,11,6,10,205
303,16,8,15,61
319,24,13,23,61
335,9,5,8,319
351,10,5,9,167
367,12,6,11,131
383,13,7,12,205
415,17,9,16,125
431,10,5,9,205
463,16,7,15,31
479,17,10,16,433
511,20,11,19,173
543,16,8,15,109
559,17,10,16,505
575,12,6,11,205
591,10,5,9,281
623,16,8,15,125
639,24,14,23,365
719,14,8,13,577
735,13,6,12,131
751,24,13,23,143
767,19,10,18,173
783,12,4,11,31
799,14,8,13,641
815,11,6,10,581
831,18,9,17,125
863,11,5,10,205
879,14,7,13,235
943,16,5,15,7
959,23,13,22,365
975,11,6,10,695
1007,22,13,21,767
1023,21,11,20,173
1071,14,8,13,859
1087,13,7,12,581
1103,12,5,11,131
1135,15,8,14,455
1151,18,9,17,173
1183,17,10,16,1067
1215,15,8,14,487
1231,14,7,13,329
1247,17,8,16,125
1311,12,6,11,467
1327,17,8,16,133
1343,24,14,23,767
1391,11,6,10,991
1439,22,12,21,365
1519,18,10,17,685
1535,20,10,19,173
1567,17,8,16,157
1599,11,6,10,1139
1647,17,7,16,55
1727,17,8,16,173
1759,11,6,10,1253
1775,16,9,15,1067
1791,19,11,18,1211
1807,11,4,10,143
1823,14,7,13,487
1839,12,6,11,655
1855,13,7,12,991
1887,17,5,16,7
1903,19,9,18,143
1919,24,13,23,365
1967,11,5,10,467
1983,14,8,13,1589
1999,15,6,14,89
2015,14,8,13,1615
2031,13,7,12,1085
2079,15,8,14,833
2095,14,8,13,1679
2159,21,11,20,365
2175,21,12,20,1103
2239,15,7,14,299
2255,24,12,23,143
2271,16,8,15,455
2303,19,9,18,173
2351,16,7,15,157
2367,18,10,17,1067
2415,14,6,13,215
2431,16,8,15,487
2463,23,13,22,937
2495,17,10,16,2249
2511,22,12,21,637
2591,16,7,15,173
2607,14,8,13,2089
2623,13,6,12,467
2671,20,10,19,301
2687,18,10,17,1211
2719,17,9,16,817
2767,16,9,15,1663
2783,12,6,11,991
2799,17,9,16,841
