k1	task_id	seconds	hours	exit_code	timed_out	result	hits	log_sha256
1	m93_k1_01	0.503586	0.000140	0	false	PASS	0	49102ebceb0ac520aaca79b508d87cf4073c926afdcd2762de3bae74bbeacefc
2	m93_k1_02	0.505036	0.000140	0	false	PASS	0	2bfa65b63927b4fe41a3db961b5e6aef4c54dcf7012ac56165183b31006e814c
3	m93_k1_03	0.505062	0.000140	0	false	PASS	0	4f396285de173b873d22c76d4235c5691231cda375e18a661663da7ffcb7135c
4	m93_k1_04	0.505041	0.000140	0	false	PASS	0	67f659cc3eafdb5d126f15ff9019294300dbc266aa7379ade4fdd82973756765
5	m93_k1_05	0.505099	0.000140	0	false	PASS	0	70da0b290de673b0e0acebab07c66c224abe4fbcb7f9b408f1d2480bc411317a
6	m93_k1_06	0.505224	0.000140	0	false	PASS	0	fecd0239478b089e134d0cab29c1281df1cbfed44dcf2bed5b50b9f60869d83b
7	m93_k1_07	0.505083	0.000140	0	false	PASS	0	8e20733a3fd3360c9c28dcd1c9c8964f9f830f42aefa338823c29f881bd5f3bf
8	m93_k1_08	0.504887	0.000140	0	false	PASS	0	089b159c6f1272bb34b65cbc7a7c109f80db27f90cd0e8b5a805ca752a9b2504
9	m93_k1_09	0.505176	0.000140	0	false	PASS	0	d59149eec88830b7c6038065ef001df353feb54a3f7adba61741a21c5af35fbf
10	m93_k1_10	0.505566	0.000140	0	false	PASS	0	20791bacc4537a5c3856638659d4d59d13a698229cb5f9b1e724a2cf8a1484dd
11	m93_k1_11	1.013894	0.000282	0	false	PASS	0	0b7d3d176d68fd62e99afc1e3497ee96b762b2b5c513953e9cc188c9f5cb6ccc
12	m93_k1_12	1.014333	0.000282	0	false	PASS	0	9cdb0b5ecea0eefa6050ac9039f57b53aee23679afcaa845500f178ba702f562
13	m93_k1_13	1.014480	0.000282	0	false	PASS	0	e7341364cded8166e11f74f6860989774dcc472a4dbf5329c145628130e57df2
14	m93_k1_14	1.014553	0.000282	0	false	PASS	0	e97fa64d0a231c0d0daf26e14f2be6b8bd063ced35606a62dab5faa8a00d11c7
