k1	task_id	seconds	hours	exit_code	timed_out	result	hits	log_sha256
1	m96_k1_01	0.500686	0.000139	0	false	PASS	0	4938ebe4ad0afb8fbde24ef5cec820fc770a1a0294b1d75e7dec95e0151a4068
2	m96_k1_02	72455.641597	20.126567	0	false	PASS	0	035c8b52e1a6110521e8e071e30b8eb067ac5b8ffc6574d5cba5f295cd73f04d
3	m96_k1_03	77754.045167	21.598346	0	false	PASS	0	3c2a82684e5ad9f72585d181ccbe6262a70513bf580eac054e8d4f041e6467cf
4	m96_k1_04	122400.115881	34.000032	0	false	PASS	0	91202e38f53170547a015a992332c15b608991f7e4f75863c9f6e1493428c290
5	m96_k1_05	133596.946633	37.110263	0	false	PASS	0	cb140390b7a1c3242ccb9c0f3081ed43e0881e18c61fd7385256cafd6be900ed
6	m96_k1_06	171836.576275	47.732382	0	false	PASS	0	da43694372ba966200a305738575718af5c3b6c085f6a6412171d565e9b6589f
7	m96_k1_07	190397.613645	52.888226	0	false	PASS	0	35e7c133daeb47f84b1e0cadda5dc36f1bbb58e42b1dff78ab8e6b9f5a6e550d
8	m96_k1_08	194269.331660	53.963703	0	false	PASS	0	5549ee8d6586d20a50d0076c0bcd26c9348bd85a00b72cabccb5e1f312e1f7ab
9	m96_k1_09	202954.306668	56.376196	0	false	PASS	0	a1e24c0ec5e08c3a4b06f768a5cdcebb7659b4a37600f3e025269ee2ac2c7c64
10	m96_k1_10	197782.944678	54.939707	0	false	PASS	0	f0b840f5479014dd57f58ece0b297c1cd5ede0073acd01b319bff23675fefc20
11	m96_k1_11	206819.943048	57.449984	0	false	PASS	0	8b3c031fcd6b7f1c14dd9eb35dc60b1425835c356784a984a35d38a016035fc5
12	m96_k1_12	214381.379221	59.550383	0	false	PASS	0	7df1da547f3b19f6758b903f6f24dbf68b3df65f4fd05cbd847a2bddb7769e86
13	m96_k1_13	198348.434068	55.096787	0	false	PASS	0	ce56fc5f1a591acc0e0f188404c47e4659cfacd296e5b9be2d9089307538e729
14	m96_k1_14	182785.661966	50.773795	0	false	PASS	0	3ed28e1ddf45220d0bf1e164ac4a3ff8416bab2931be7fbb01d1a1e47156cfb6
15	m96_k1_15	171568.162548	47.657823	0	false	PASS	0	a69c8deebe87ae1c982e64b15564fe6ae59c39ca1d57c5a67f04458f1e045adf
16	m96_k1_16	157977.512395	43.882642	0	false	PASS	0	04255c6c4cdf45184b13fc84ad3da87d090e017f21729fda286930b8eb09f707
17	m96_k1_17	146227.206167	40.618668	0	false	PASS	0	7f1df79a73849de8b70a307f28da2c35a674b5a3f6fac4849c9d2f2ef8f1f914
18	m96_k1_18	133653.992219	37.126109	0	false	PASS	0	bf8b804dbbf954885898c7c5eaa12dc1a6ac3e83756e86c4264b6fb9cd06b247
19	m96_k1_19	116780.017993	32.438894	0	false	PASS	0	689573b9b215ee2ed6c917e5114bb607124bf57894caa164e8b60f55ed95b246
20	m96_k1_20	103954.021556	28.876117	0	false	PASS	0	a13b68ce29674b5ea0d0555e30945ed469da4ed4dfe4383f04601e1b00345b89
21	m96_k1_21	92292.287581	25.636747	0	false	PASS	0	19dfb76f4c785cbef26ba6566d69fc7cf8266e897123aadd865527d56b34a450
